date,state,service provider,throughput,latency,video resolution,age of device,resolution switches
4/6/2023,Cali,Provider C,669.97,92,4K,4,5
4/6/2023,Cali,Provider D,569.87,38,4K,2,3
4/6/2023,Cali,Provider E,173.71,25,1440p,3,4
4/6/2023,Texas,Provider A,157.67,70,1440p,5,4
4/6/2023,Texas,Provider B,219.18,46,4K,2,0
4/6/2023,Texas,Provider C,426.22,92,480p,5,0
4/6/2023,Texas,Provider D,112.36,93,720p,3,0
4/6/2023,Texas,Provider E,96.33,76,1080p,5,8
4/6/2023,Illinois,Provider A,480.23,28,4K,1,9
4/6/2023,Illinois,Provider B,511.64,83,720p,4,2
4/6/2023,Illinois,Provider C,864.74,49,720p,5,2
4/6/2023,Illinois,Provider D,465.25,45,1440p,2,0
4/6/2023,Illinois,Provider E,238.5,100,720p,4,2
4/7/2023,Cali,Provider A,433.08,55,1440p,3,3
4/7/2023,Cali,Provider B,519.84,44,1440p,2,4
4/7/2023,Cali,Provider C,64.06,12,1440p,1,3
4/7/2023,Cali,Provider D,563.24,34,480p,5,1
4/7/2023,Cali,Provider E,718.67,83,480p,2,7
4/7/2023,Texas,Provider A,887.92,49,1080p,1,2
4/7/2023,Texas,Provider B,187.28,94,1440p,3,2
4/7/2023,Texas,Provider C,930.94,85,1440p,2,0
4/7/2023,Texas,Provider D,413.91,92,480p,2,5
4/7/2023,Texas,Provider E,563.25,56,4K,3,7
4/7/2023,Illinois,Provider A,172.17,93,1440p,3,10
4/7/2023,Illinois,Provider B,146.22,31,1080p,3,10
4/7/2023,Illinois,Provider C,91.27,65,1080p,5,5
4/7/2023,Illinois,Provider D,924.24,72,1440p,3,6
4/7/2023,Illinois,Provider E,371.1,66,480p,2,1
4/8/2023,Cali,Provider A,84.7,23,4K,4,5
4/8/2023,Cali,Provider B,174.77,59,4K,3,2
4/8/2023,Cali,Provider C,980.53,80,720p,4,6
4/8/2023,Cali,Provider D,354.34,88,720p,2,2
4/8/2023,Cali,Provider E,872.86,96,480p,4,8
4/8/2023,Texas,Provider A,623.23,10,1080p,4,8
4/8/2023,Texas,Provider B,625.8,90,1080p,5,2
4/8/2023,Texas,Provider C,267.43,56,720p,2,3
4/8/2023,Texas,Provider D,255.2,13,720p,3,0
4/8/2023,Texas,Provider E,946.24,55,4K,2,3
4/8/2023,Illinois,Provider A,967.97,23,480p,2,5
4/8/2023,Illinois,Provider B,316.12,82,1440p,2,4
4/8/2023,Illinois,Provider C,184.97,29,1440p,1,8
4/8/2023,Illinois,Provider D,187.49,40,1080p,3,3
4/8/2023,Illinois,Provider E,356.86,52,720p,5,4
4/9/2023,Cali,Provider A,843,73,1440p,1,0
4/9/2023,Cali,Provider B,524.49,71,1440p,5,8
4/9/2023,Cali,Provider C,870.37,90,4K,2,4
4/9/2023,Cali,Provider D,792.22,46,720p,2,0
4/9/2023,Cali,Provider E,95.54,54,720p,1,3
4/9/2023,Texas,Provider A,669.18,79,480p,4,5
4/9/2023,Texas,Provider B,903.52,48,1080p,2,0
4/9/2023,Texas,Provider C,950.63,66,4K,2,7
4/9/2023,Texas,Provider D,924.07,79,1080p,1,5
4/9/2023,Texas,Provider E,892.9,93,720p,5,6
4/9/2023,Illinois,Provider A,445.2,80,1440p,3,9
4/9/2023,Illinois,Provider B,366.87,35,1080p,2,3
4/9/2023,Illinois,Provider C,877.07,58,480p,2,4
4/9/2023,Illinois,Provider D,784.99,97,1080p,4,0
4/9/2023,Illinois,Provider E,375.23,100,4K,3,0
4/10/2023,Cali,Provider A,662.08,27,4K,2,10
4/10/2023,Cali,Provider B,786.94,50,1080p,2,10
4/10/2023,Cali,Provider C,755.83,76,480p,1,9
4/10/2023,Cali,Provider D,696.07,16,480p,4,9
4/10/2023,Cali,Provider E,497.06,51,1440p,3,8
4/10/2023,Texas,Provider A,435.62,58,720p,3,2
4/10/2023,Texas,Provider B,127.21,98,720p,3,5
4/10/2023,Texas,Provider C,851.53,59,4K,4,10
4/10/2023,Texas,Provider D,700.2,34,1440p,5,0
4/10/2023,Texas,Provider E,381.42,47,1440p,5,1
4/10/2023,Illinois,Provider A,751.58,71,480p,5,9
4/10/2023,Illinois,Provider B,391.16,10,480p,2,5
4/10/2023,Illinois,Provider C,837.6,91,720p,3,5
4/10/2023,Illinois,Provider D,370.8,67,480p,1,0
4/10/2023,Illinois,Provider E,624.61,74,4K,2,5
4/11/2023,Cali,Provider A,613.24,71,480p,4,1
4/11/2023,Cali,Provider B,159.02,40,4K,4,7
4/11/2023,Cali,Provider C,411.54,27,480p,4,1
4/11/2023,Cali,Provider D,788.72,72,720p,3,8
4/11/2023,Cali,Provider E,109.42,68,1440p,4,10
4/11/2023,Texas,Provider A,819.66,19,720p,5,4
4/11/2023,Texas,Provider B,740.06,22,480p,2,1
4/11/2023,Texas,Provider C,488.27,69,720p,1,8
4/11/2023,Texas,Provider D,571.5,86,1440p,1,3
4/11/2023,Texas,Provider E,994.73,24,4K,3,3
4/11/2023,Illinois,Provider A,134.33,45,720p,2,6
4/11/2023,Illinois,Provider B,829.91,18,480p,3,10
4/11/2023,Illinois,Provider C,934.92,43,4K,3,6
4/11/2023,Illinois,Provider D,308.85,38,1080p,1,1
4/11/2023,Illinois,Provider E,466.17,27,4K,5,7
4/12/2023,Cali,Provider A,772.99,12,1080p,2,6
4/12/2023,Cali,Provider B,529.58,69,720p,4,7
4/12/2023,Cali,Provider C,254.77,27,480p,5,10
4/12/2023,Cali,Provider D,155.99,12,4K,2,9
4/12/2023,Cali,Provider E,920.26,33,1440p,3,0
4/12/2023,Texas,Provider A,615.69,22,1440p,2,8
4/12/2023,Texas,Provider B,249.26,37,4K,4,8
4/12/2023,Texas,Provider C,540.21,37,1080p,4,6
4/12/2023,Texas,Provider D,945.01,82,480p,5,6
4/12/2023,Texas,Provider E,959.71,29,1440p,2,1
4/12/2023,Illinois,Provider A,851.5,100,1440p,3,1
4/12/2023,Illinois,Provider B,654.65,27,4K,2,4
4/12/2023,Illinois,Provider C,141.72,73,4K,3,6
4/12/2023,Illinois,Provider D,401.63,53,4K,3,7
4/12/2023,Illinois,Provider E,519.54,20,1440p,2,10
4/13/2023,Cali,Provider A,533.38,19,480p,5,1
4/13/2023,Cali,Provider B,563.12,37,4K,3,6
4/13/2023,Cali,Provider C,332.43,52,480p,4,7
4/13/2023,Cali,Provider D,777.89,34,720p,1,10
4/13/2023,Cali,Provider E,329.6,48,4K,3,7
4/13/2023,Texas,Provider A,914.96,58,1080p,2,4
4/13/2023,Texas,Provider B,622.79,70,480p,5,2
4/13/2023,Texas,Provider C,626.8,60,720p,5,0
4/13/2023,Texas,Provider D,986.52,33,720p,3,3
4/13/2023,Texas,Provider E,260.93,63,720p,5,0
4/13/2023,Illinois,Provider A,478.26,21,480p,3,2
4/13/2023,Illinois,Provider B,375.06,39,720p,2,8
4/13/2023,Illinois,Provider C,169.13,63,4K,2,9
4/13/2023,Illinois,Provider D,95.2,26,720p,3,10
4/13/2023,Illinois,Provider E,944.85,75,1440p,5,10
4/14/2023,Cali,Provider A,838.88,13,1080p,5,5
4/14/2023,Cali,Provider B,661.61,45,480p,2,10
4/14/2023,Cali,Provider C,341.09,91,4K,3,3
4/14/2023,Cali,Provider D,648.84,14,1080p,3,1
4/14/2023,Cali,Provider E,605.19,99,4K,4,6
4/14/2023,Texas,Provider A,253.14,73,1080p,2,4
4/14/2023,Texas,Provider B,855.93,35,480p,4,3
4/14/2023,Texas,Provider C,667.65,94,720p,2,1
4/14/2023,Texas,Provider D,127.96,52,1080p,2,8
4/14/2023,Texas,Provider E,878.55,12,1440p,1,8
4/14/2023,Illinois,Provider A,472.24,68,4K,2,4
4/14/2023,Illinois,Provider B,767.99,48,1440p,3,10
4/14/2023,Illinois,Provider C,347.64,60,4K,3,6
4/14/2023,Illinois,Provider D,222.41,27,1080p,3,1
4/14/2023,Illinois,Provider E,843.46,72,1080p,2,0
4/15/2023,Cali,Provider A,93.42,64,1080p,3,0
4/15/2023,Cali,Provider B,908.45,37,1440p,3,5
4/15/2023,Cali,Provider C,900.6,79,1440p,1,1
4/15/2023,Cali,Provider D,585.4,30,1080p,2,5
4/15/2023,Cali,Provider E,927.05,47,1080p,1,7
4/15/2023,Texas,Provider A,466.02,65,1080p,5,0
4/15/2023,Texas,Provider B,341.02,90,1440p,4,6
4/15/2023,Texas,Provider C,682.99,57,1080p,1,1
4/15/2023,Texas,Provider D,545.23,16,1080p,3,0
4/15/2023,Texas,Provider E,865.91,72,720p,4,8
4/15/2023,Illinois,Provider A,418.35,82,480p,4,10
4/15/2023,Illinois,Provider B,293.13,94,1080p,2,0
4/15/2023,Illinois,Provider C,431.1,76,720p,4,7
4/15/2023,Illinois,Provider D,520.08,42,480p,4,1
4/15/2023,Illinois,Provider E,181.36,24,1080p,2,2
4/16/2023,Cali,Provider A,234.39,93,720p,4,0
4/16/2023,Cali,Provider B,294.17,45,4K,2,0
4/16/2023,Cali,Provider C,121.25,85,1080p,2,10
4/16/2023,Cali,Provider D,564.38,20,1080p,1,3
4/16/2023,Cali,Provider E,799.62,94,480p,5,10
4/16/2023,Texas,Provider A,155.37,82,1080p,4,9
4/16/2023,Texas,Provider B,865.81,33,4K,4,8
4/16/2023,Texas,Provider C,340.31,74,4K,4,3
4/16/2023,Texas,Provider D,849.09,51,720p,5,1
4/16/2023,Texas,Provider E,516.82,37,480p,2,10
4/16/2023,Illinois,Provider A,189.04,32,1080p,1,0
4/16/2023,Illinois,Provider B,987.05,11,720p,4,2
4/16/2023,Illinois,Provider C,977.18,94,720p,4,8
4/16/2023,Illinois,Provider D,528.12,97,720p,2,9
4/16/2023,Illinois,Provider E,454.23,51,1080p,4,5
4/17/2023,Cali,Provider A,548.74,60,720p,3,0
4/17/2023,Cali,Provider B,204.01,62,480p,1,9
4/17/2023,Cali,Provider C,217.16,45,720p,5,1
4/17/2023,Cali,Provider D,246.36,19,720p,2,6
4/17/2023,Cali,Provider E,74.88,12,720p,4,6
4/17/2023,Texas,Provider A,605.5,93,480p,1,10
4/17/2023,Texas,Provider B,228.72,34,1080p,1,5
4/17/2023,Texas,Provider C,420.45,71,1440p,5,8
4/17/2023,Texas,Provider D,512.43,96,720p,3,0
4/17/2023,Texas,Provider E,184.62,85,1080p,4,9
4/17/2023,Illinois,Provider A,541.51,21,1440p,2,5
4/17/2023,Illinois,Provider B,592.8,62,480p,5,7
4/17/2023,Illinois,Provider C,579.42,27,480p,5,2
4/17/2023,Illinois,Provider D,169.7,12,1080p,3,5
4/17/2023,Illinois,Provider E,205.66,28,1440p,2,0
4/18/2023,Cali,Provider A,358.75,76,1080p,3,2
4/18/2023,Cali,Provider B,481.4,30,480p,4,2
4/18/2023,Cali,Provider C,634.51,44,1440p,1,5
4/18/2023,Cali,Provider D,82.78,34,1080p,4,0
4/18/2023,Cali,Provider E,618.58,18,4K,4,9
4/18/2023,Texas,Provider A,171.49,93,1440p,1,5
4/18/2023,Texas,Provider B,439.42,98,720p,1,7
4/18/2023,Texas,Provider C,820.41,85,480p,5,3
4/18/2023,Texas,Provider D,861.64,99,720p,4,8
4/18/2023,Texas,Provider E,769.88,100,480p,2,9
4/18/2023,Illinois,Provider A,885.52,83,4K,3,2
4/18/2023,Illinois,Provider B,694.61,51,480p,4,2
4/18/2023,Illinois,Provider C,981.01,35,480p,4,7
4/18/2023,Illinois,Provider D,796.1,64,1440p,1,0
4/18/2023,Illinois,Provider E,123.55,31,1080p,3,5
4/19/2023,Cali,Provider A,765.53,45,480p,3,2
4/19/2023,Cali,Provider B,672.75,49,1440p,1,1
4/19/2023,Cali,Provider C,185.51,10,720p,4,1
4/19/2023,Cali,Provider D,868.71,68,4K,4,7
4/19/2023,Cali,Provider E,809.56,32,1440p,4,9
4/19/2023,Texas,Provider A,976.58,20,720p,4,6
4/19/2023,Texas,Provider B,708.82,36,1440p,4,6
4/19/2023,Texas,Provider C,160.32,14,720p,3,10
4/19/2023,Texas,Provider D,166.48,71,720p,1,9
4/19/2023,Texas,Provider E,964.67,62,1440p,1,10
4/19/2023,Illinois,Provider A,939.67,37,1440p,3,8
4/19/2023,Illinois,Provider B,953.96,65,480p,5,2
4/19/2023,Illinois,Provider C,323.77,57,1440p,3,8
4/19/2023,Illinois,Provider D,263.71,23,1080p,2,9
4/19/2023,Illinois,Provider E,51.24,14,1080p,4,8
4/20/2023,Cali,Provider A,73.83,85,4K,5,5
4/20/2023,Cali,Provider B,219.74,58,1080p,1,5
4/20/2023,Cali,Provider C,811.76,16,720p,3,9
4/20/2023,Cali,Provider D,347.92,52,480p,3,3
4/20/2023,Cali,Provider E,98.2,27,4K,1,9
4/20/2023,Texas,Provider A,59.73,31,720p,4,3
4/20/2023,Texas,Provider B,629.8,66,480p,2,4
4/20/2023,Texas,Provider C,711.08,64,480p,4,8
4/20/2023,Texas,Provider D,858.81,24,1080p,4,3
4/20/2023,Texas,Provider E,183.32,48,720p,1,6
4/20/2023,Illinois,Provider A,628.08,63,1440p,1,2
4/20/2023,Illinois,Provider B,838.1,98,4K,4,4
4/20/2023,Illinois,Provider C,908.96,57,4K,3,2
4/20/2023,Illinois,Provider D,887.66,53,1440p,5,6
4/20/2023,Illinois,Provider E,988.55,34,1080p,5,9
4/21/2023,Cali,Provider A,219.92,50,4K,4,8
4/21/2023,Cali,Provider B,442.82,15,1440p,2,3
4/21/2023,Cali,Provider C,448.69,84,480p,1,9
4/21/2023,Cali,Provider D,984.89,27,1080p,2,9
4/21/2023,Cali,Provider E,593.17,82,1440p,4,5
4/21/2023,Texas,Provider A,655,51,480p,3,7
4/21/2023,Texas,Provider B,175.42,81,480p,5,6
4/21/2023,Texas,Provider C,219.93,17,480p,2,1
4/21/2023,Texas,Provider D,158.03,74,1080p,2,7
4/21/2023,Texas,Provider E,566.93,51,1080p,2,5
4/21/2023,Illinois,Provider A,783.65,44,1440p,5,10
4/21/2023,Illinois,Provider B,854.73,65,480p,4,2
4/21/2023,Illinois,Provider C,388.05,14,1080p,3,1
4/21/2023,Illinois,Provider D,118.19,19,480p,3,6
4/21/2023,Illinois,Provider E,251.71,55,480p,3,7
4/22/2023,Cali,Provider A,783.19,27,4K,2,1
4/22/2023,Cali,Provider B,192.16,16,720p,3,1
4/22/2023,Cali,Provider C,526.51,90,4K,5,9
4/22/2023,Cali,Provider D,118.95,27,1440p,1,7
4/22/2023,Cali,Provider E,193.52,47,720p,5,2
4/22/2023,Texas,Provider A,124.3,86,4K,4,7
4/22/2023,Texas,Provider B,262.19,63,480p,3,7
4/22/2023,Texas,Provider C,813.57,13,480p,3,1
4/22/2023,Texas,Provider D,463.77,53,4K,2,4
4/22/2023,Texas,Provider E,377.06,76,4K,1,8
4/22/2023,Illinois,Provider A,219.51,62,4K,2,9
4/22/2023,Illinois,Provider B,320.44,29,1080p,3,3
4/22/2023,Illinois,Provider C,730.17,60,480p,1,10
4/22/2023,Illinois,Provider D,219.54,62,720p,1,3
4/22/2023,Illinois,Provider E,464.46,95,4K,3,6
4/23/2023,Cali,Provider A,120.41,82,720p,2,10
4/23/2023,Cali,Provider B,789.15,19,1080p,4,8
4/23/2023,Cali,Provider C,888.25,56,720p,1,5
4/23/2023,Cali,Provider D,339.38,48,1440p,2,5
4/23/2023,Cali,Provider E,745.92,100,1080p,1,8
4/23/2023,Texas,Provider A,471.39,75,4K,2,8
4/23/2023,Texas,Provider B,252.33,85,1080p,3,0
4/23/2023,Texas,Provider C,695.91,38,1440p,2,7
4/23/2023,Texas,Provider D,542.65,62,1440p,5,7
4/23/2023,Texas,Provider E,384.52,49,4K,1,3
4/23/2023,Illinois,Provider A,897.65,48,4K,1,1
4/23/2023,Illinois,Provider B,635.35,34,4K,3,6
4/23/2023,Illinois,Provider C,142.17,19,4K,3,5
4/23/2023,Illinois,Provider D,351.38,67,1440p,5,7
4/23/2023,Illinois,Provider E,239.37,19,1440p,2,9
4/24/2023,Cali,Provider A,541.17,10,1440p,1,6
4/24/2023,Cali,Provider B,993.38,91,1440p,1,2
4/24/2023,Cali,Provider C,266.9,95,480p,4,9
4/24/2023,Cali,Provider D,574.62,40,1440p,4,5
4/24/2023,Cali,Provider E,445.82,41,4K,4,3
4/24/2023,Texas,Provider A,104.62,81,1440p,5,8
4/24/2023,Texas,Provider B,217.67,36,1440p,1,5
4/24/2023,Texas,Provider C,232.63,99,1080p,1,10
4/24/2023,Texas,Provider D,863.61,72,480p,4,0
4/24/2023,Texas,Provider E,519.03,75,4K,1,4
4/24/2023,Illinois,Provider A,422.27,12,720p,3,6
4/24/2023,Illinois,Provider B,832.58,75,4K,5,5
4/24/2023,Illinois,Provider C,149.08,25,1440p,5,8
4/24/2023,Illinois,Provider D,601.08,34,4K,4,1
4/24/2023,Illinois,Provider E,807.05,95,720p,2,7
4/25/2023,Cali,Provider A,675.6,20,1440p,1,9
4/25/2023,Cali,Provider B,574.3,47,720p,3,10
4/25/2023,Cali,Provider C,834.61,33,480p,4,8
4/25/2023,Cali,Provider D,980.54,37,1080p,2,2
4/25/2023,Cali,Provider E,661.69,74,4K,2,7
4/25/2023,Texas,Provider A,115.54,86,480p,2,7
4/25/2023,Texas,Provider B,603.35,77,4K,2,10
4/25/2023,Texas,Provider C,425.02,35,480p,5,4
4/25/2023,Texas,Provider D,789.51,60,480p,5,10
4/25/2023,Texas,Provider E,388.76,69,1080p,2,5
4/25/2023,Illinois,Provider A,546.45,28,720p,2,5
4/25/2023,Illinois,Provider B,430.11,32,1080p,1,8
4/25/2023,Illinois,Provider C,955.24,80,1080p,4,4
4/25/2023,Illinois,Provider D,754.33,47,480p,5,8
4/25/2023,Illinois,Provider E,635.5,96,1440p,4,10
4/26/2023,Cali,Provider A,677.26,58,1080p,2,6
4/26/2023,Cali,Provider B,941.74,60,1440p,5,10
4/26/2023,Cali,Provider C,921.85,78,1440p,3,7
4/26/2023,Cali,Provider D,243.36,52,480p,5,2
4/26/2023,Cali,Provider E,128.15,60,720p,5,8
4/26/2023,Texas,Provider A,493.43,57,4K,1,5
4/26/2023,Texas,Provider B,964.31,26,1440p,1,6
4/26/2023,Texas,Provider C,860.3,29,1440p,2,4
4/26/2023,Texas,Provider D,437.58,21,1440p,3,4
4/26/2023,Texas,Provider E,735.44,45,1440p,2,6
4/26/2023,Illinois,Provider A,722.39,44,4K,4,4
4/26/2023,Illinois,Provider B,921.04,78,1440p,1,7
4/26/2023,Illinois,Provider C,189.48,37,1080p,5,2
4/26/2023,Illinois,Provider D,752.78,25,4K,2,2
4/26/2023,Illinois,Provider E,923.07,80,480p,3,8
4/27/2023,Cali,Provider A,363.62,48,4K,4,9
4/27/2023,Cali,Provider B,394.56,60,4K,5,0
4/27/2023,Cali,Provider C,96.66,79,1440p,3,7
4/27/2023,Cali,Provider D,683.54,60,720p,5,3
4/27/2023,Cali,Provider E,740.74,33,1080p,2,3
4/27/2023,Texas,Provider A,532.21,82,4K,4,7
4/27/2023,Texas,Provider B,971.72,18,720p,1,1
4/27/2023,Texas,Provider C,693.9,12,4K,4,9
4/27/2023,Texas,Provider D,908.72,14,1080p,1,2
4/27/2023,Texas,Provider E,464.06,27,480p,4,6
4/27/2023,Illinois,Provider A,718.98,65,1440p,1,8
4/27/2023,Illinois,Provider B,95.6,68,720p,5,7
4/27/2023,Illinois,Provider C,895.89,16,720p,3,3
4/27/2023,Illinois,Provider D,802.88,57,480p,3,6
4/27/2023,Illinois,Provider E,895.13,35,1080p,2,3
4/28/2023,Cali,Provider A,802.25,40,480p,1,3
4/28/2023,Cali,Provider B,795.04,15,1440p,3,8
4/28/2023,Cali,Provider C,486.8,52,1440p,4,9
4/28/2023,Cali,Provider D,59.84,96,1080p,1,0
4/28/2023,Cali,Provider E,882.26,47,720p,5,10
4/28/2023,Texas,Provider A,794.49,38,4K,4,10
4/28/2023,Texas,Provider B,153.57,46,1440p,2,1
4/28/2023,Texas,Provider C,953.06,78,480p,1,3
4/28/2023,Texas,Provider D,101.17,68,480p,4,6
4/28/2023,Texas,Provider E,641.1,24,1080p,5,3
4/28/2023,Illinois,Provider A,629.9,64,720p,4,0
4/28/2023,Illinois,Provider B,775.09,21,480p,3,1
4/28/2023,Illinois,Provider C,488.16,51,480p,5,10
4/28/2023,Illinois,Provider D,861.34,89,720p,4,10
4/28/2023,Illinois,Provider E,98.87,65,1080p,3,7
4/29/2023,Cali,Provider A,342.48,98,720p,5,10
4/29/2023,Cali,Provider B,149.16,34,1440p,5,7
4/29/2023,Cali,Provider C,603.18,63,720p,5,10
4/29/2023,Cali,Provider D,572.37,36,480p,3,2
4/29/2023,Cali,Provider E,432.52,98,720p,3,5
4/29/2023,Texas,Provider A,366.61,87,4K,1,9
4/29/2023,Texas,Provider B,130.32,22,1080p,4,5
4/29/2023,Texas,Provider C,140.68,32,1080p,4,1
4/29/2023,Texas,Provider D,224.79,74,4K,3,5
4/29/2023,Texas,Provider E,893.94,92,720p,3,0
4/29/2023,Illinois,Provider A,784.53,37,4K,4,4
4/29/2023,Illinois,Provider B,804.51,70,480p,2,2
4/29/2023,Illinois,Provider C,401.36,73,1080p,4,5
4/29/2023,Illinois,Provider D,407.05,66,1440p,1,7
4/29/2023,Illinois,Provider E,298.11,55,1440p,4,8
4/30/2023,Cali,Provider A,313.75,54,480p,5,10
4/30/2023,Cali,Provider B,853.05,39,4K,5,8
4/30/2023,Cali,Provider C,784.67,21,4K,1,3
4/30/2023,Cali,Provider D,254.97,32,1080p,1,8
4/30/2023,Cali,Provider E,342.82,82,1440p,1,0
4/30/2023,Texas,Provider A,217.91,81,1080p,4,9
4/30/2023,Texas,Provider B,313.34,99,720p,3,9
4/30/2023,Texas,Provider C,984.92,16,1080p,3,0
4/30/2023,Texas,Provider D,868.24,98,4K,5,8
4/30/2023,Texas,Provider E,577.89,13,1440p,5,6
4/30/2023,Illinois,Provider A,704.01,31,720p,1,0
4/30/2023,Illinois,Provider B,912.71,68,4K,1,8
4/30/2023,Illinois,Provider C,771.48,18,4K,5,10
4/30/2023,Illinois,Provider D,173.49,58,480p,5,6
4/30/2023,Illinois,Provider E,970.21,47,720p,4,2
5/1/2023,Cali,Provider A,375.29,84,4K,5,10
5/1/2023,Cali,Provider B,424.75,90,4K,4,8
5/1/2023,Cali,Provider C,643.05,67,1440p,2,0
5/1/2023,Cali,Provider D,796.57,10,4K,5,2
5/1/2023,Cali,Provider E,260.92,60,720p,4,0
5/1/2023,Texas,Provider A,414.73,47,720p,3,9
5/1/2023,Texas,Provider B,513.99,31,1080p,2,10
5/1/2023,Texas,Provider C,298.28,34,4K,5,7
5/1/2023,Texas,Provider D,785.62,27,720p,1,0
5/1/2023,Texas,Provider E,573.96,58,1080p,1,8
5/1/2023,Illinois,Provider A,66.62,46,4K,5,7
5/1/2023,Illinois,Provider B,632.47,57,480p,3,10
5/1/2023,Illinois,Provider C,758.46,90,480p,2,1
5/1/2023,Illinois,Provider D,743.75,58,480p,4,0
5/1/2023,Illinois,Provider E,164.6,80,4K,3,7
5/2/2023,Cali,Provider A,984.22,85,1440p,4,1
5/2/2023,Cali,Provider B,174.34,94,720p,3,1
5/2/2023,Cali,Provider C,995.54,39,1440p,5,3
